,y_pred
265,7.328005790710449
266,6.2654032707214355
267,7.4236159324646
268,6.062596321105957
269,4.919612884521484
270,7.489072322845459
271,7.710846424102783
272,7.771372318267822
273,7.444980621337891
274,5.238879680633545
275,7.857358932495117
276,7.500513076782227
277,5.625265121459961
278,8.221620559692383
279,6.531071662902832
280,7.786714553833008
281,7.469738006591797
282,6.65423583984375
283,7.903057098388672
284,5.513778209686279
285,7.620750427246094
286,7.526363849639893
287,7.22342586517334
288,5.800176620483398
289,6.573147296905518
290,7.944878578186035
291,8.118141174316406
292,8.216715812683105
293,8.367820739746094
294,6.666605472564697
295,7.402858734130859
296,7.848564147949219
297,7.444949150085449
298,7.390219688415527
299,6.923229217529297
300,7.333897590637207
301,7.016880512237549
302,7.240329742431641
303,7.307888031005859
304,6.842245578765869
305,7.730859756469727
306,7.525542259216309
307,7.5511932373046875
308,7.531139850616455
309,6.136562347412109
310,7.094858169555664
311,7.691396236419678
312,8.2008638381958
313,6.712381839752197
314,7.22812032699585
315,6.945508003234863
316,7.317482948303223
317,7.399566173553467
318,7.641608715057373
319,6.421802997589111
320,7.527393341064453
321,7.258238792419434
322,5.286881446838379
323,6.631976127624512
324,7.34712553024292
325,7.538818836212158
326,7.740262508392334
327,6.588099002838135
328,7.286602973937988
329,7.695277214050293
330,6.857581615447998
331,7.291701793670654
332,7.450123310089111
333,7.342410087585449
334,7.441952705383301
335,8.089341163635254
336,7.036755084991455
337,7.194581985473633
338,7.619715690612793
339,7.618025302886963
340,7.501855850219727
341,7.618804454803467
342,7.523627281188965
343,8.004963874816895
344,7.237544059753418
345,7.561692237854004
346,7.1958394050598145
347,2.8643648624420166
348,6.678917407989502
349,7.394282817840576
350,7.755964756011963
351,7.785378932952881
352,5.150464057922363
353,6.6303606033325195
354,6.47382926940918
355,7.868101119995117
356,7.64011287689209
357,5.621844291687012
358,6.852776050567627
359,6.355123043060303
360,7.150031566619873
361,7.090884208679199
362,7.126771926879883
363,7.886077404022217
364,7.553889751434326
365,7.335857391357422
366,8.618423461914062
367,7.689755439758301
368,7.795485019683838
369,5.968409061431885
370,6.430218696594238
371,6.261739253997803
372,4.569448471069336
373,7.518515110015869
374,7.479063987731934
375,7.552350044250488
376,6.311225891113281
377,5.933156967163086
378,7.298089504241943
379,6.4552083015441895
380,7.859536170959473
381,7.517482757568359
382,7.688935279846191
383,6.9618449211120605
384,7.357254505157471
385,7.102383613586426
386,7.9397454261779785
387,7.587461948394775
388,6.850411415100098
389,7.434685230255127
390,7.081201076507568
391,5.961349010467529
392,6.1289191246032715
393,7.422175407409668
394,6.379451751708984
395,5.7289581298828125
396,5.257812976837158
397,7.65762996673584
398,5.858742713928223
399,7.779209613800049
400,7.6596174240112305
401,7.392780780792236
402,7.588191032409668
403,6.485902786254883
404,7.682823181152344
405,7.7203450202941895
406,7.504006385803223
407,7.115108966827393
408,7.619894981384277
409,5.9371418952941895
410,7.935790538787842
411,7.258358001708984
412,5.240787982940674
413,7.510134696960449
414,7.6452155113220215
415,6.861602306365967
416,7.20539665222168
417,7.949228286743164
418,7.463906288146973
419,7.589916706085205
420,7.576278209686279
421,6.127969264984131
422,5.657047748565674
423,7.525529861450195
424,7.450411319732666
425,6.9798760414123535
426,7.207098484039307
427,8.133879661560059
428,7.60153341293335
429,7.692930221557617
430,9.584724426269531
431,6.367184638977051
432,7.711514949798584
433,6.735727787017822
434,8.089774131774902
435,6.921611785888672
436,7.334310054779053
437,7.377689838409424
438,7.339343547821045
439,7.613676071166992
440,7.824499607086182
441,6.088137626647949
442,6.982915878295898
443,7.629369258880615
444,5.586979389190674
445,7.427563190460205
446,7.189082622528076
447,7.143506050109863
448,7.291616916656494
449,8.178546905517578
